name,system_code,mohs,sg,ri,ri_no,ri_ne,formula,carbonate,phosphate,sulphate,cyanide,nitrate,hydroxyl,acetate,ammonium,hydrated water,oxygen,silicon,fluorine,chlorine,bromine,iodine,system,group
Alforsite,5.0,5.0,4.765,1.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,Hex/Trig,Oxide
Allactite,2.0,4.5,3.885,1.773,,,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Allanpringite,2.0,3.0,2.562,1.695,,,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Alleghanyite,2.0,5.5,4.055,1.776,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,Monoclinic,Silicate
Alluaivite,5.0,5.5,0.0,1.625,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,8.0,0.0,1.0,0.0,0.0,Hex/Trig,Silicate
Alluaudite,2.0,5.25,3.45,1.806,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Almarudite,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,Unknown,Silicate
Alsakharovite-Zn,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,16.0,4.0,0.0,0.0,0.0,0.0,Unknown,Silicate
Althausite,3.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,Orthorhombic,Oxide
Althupite,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,Unknown,Oxide
Altisite,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,Unknown,Silicate
Alum-(K),6.0,2.25,1.757,1.453,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Cubic,Oxide
Aluminite,2.0,1.5,1.74,1.464,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Alunite,5.0,3.75,2.75,1.582,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Hex/Trig,Oxide
